id,title,date,location
1678,"Felnőtt-Ifjúsági-Senior standard,Junior tíztánc,Profi latin ranglista, Klubközi táncverseny - Junior I C Standard 2022.09.24",2022.09.24,6640 Csongrád Gyöngyvirág utca 16
1679,XII. Kistelek Open - Gyermek II D Standard 2015.09.19,2015.09.19,Kistelek
1680,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Felnőtt C Standard 2017.03.25",2017.03.25,Szentlőrinc
1681,"E OB, U21 10 Tánc MB és Klubközi Verseny - Szóló Felnőtt E LAT 2024.09.07",2024.09.07,"Csömöri Sportcsarnok 2141. Csömör, Major út 7-9"
1682,Kelet-Magyarország Területi Bajnokság - TB Felnőtt B Standard 2016.03.12,2016.03.12,Nyíradony
1683,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Ifjúsági C LAT 2018.11.11,2018.11.11,Nagykanizsa
1684,"Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Verseny - Ifjúsági ""C"" LAT 2014.05.17",2014.05.17,Hajdúböszörmény
1685,Botafogo Kupa - C Országos Bajnokság - OB Senior IV C LAT 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
1686,"Közép-Magyarország TerületiBajnokság, Kerekesszékes MB -  Senior IV E Standard 2020.03.07",2020.03.07,"2141.Csömör, Major út 7-9"
1687,XIII. Kistelek Open - Felnőtt E LAT 2016.09.24,2016.09.24,Kistelek
1688,"C Országos Bajnokság, U21 Standard és Latin Magyar Bajnokság és Klubközi Verseny - Junior II E Standard 2015.11.14",2015.11.14,Nyíradony
1689,Szőke Tisza 2018. Klubközi Táncverseny - Junior II D LAT 2018.06.16,2018.06.16,Szeged
1690,TáncSport Magyar Bajnokságok klubközi versenyei - Senior I D LAT 2024.03.24,2024.03.24,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
1691,SAVARIA Nemzetközi Táncverseny - Junior II C LAT 2024.12.15,2024.12.15,"9700 Szombathely, Rohonci út 3"
1692,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Felnőtt C LAT 2022.04.24",2022.04.24,"9700, Március 15. tér 5"
1693,Szigo Kupa - Junior I D LAT 2023.04.01,2023.04.01,"Siklós, Gyűdi út 2"
1694,"iDanceKupa2016 - Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Ifjúság- Felnőtt Tíztánc Ranglista 2016.03.19",2016.03.19,Pécs
1695,XVI. Kistelek Open - Felnőtt D Standard 2019.09.29,2019.09.29,Kistelek
1696,Spirit Kupa C-B Tíztánc Országos Bajnokságok és klubközi verseny - Szóló Felnőtt D LAT 2025.03.09,2025.03.09,Kiskunmajsa Aréna
1697,XII Ametiszt Kupa - Gyermek II E Standard 2016.10.16,2016.10.16,Kaposvár
1698,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Verseny - Junior I D LAT 2017.04.23",2017.04.23,Székesfehérvár
1699,VIII. Kner Kupa- C és B Tíztánc OB és Klubközi Táncverseny - Gyermek II D Standard 2015.04.11,2015.04.11,Mezőtúr
1700,"IX. Forma Kupa, D Országos Bajnokság - OB Ifjúsági D LAT 2015.11.07",2015.11.07,Algyő
1701,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Gyermek II E Standard 2019.03.23,2019.03.23,Kozármisleny
1702,Kelet-Magyarország Területi Bajnokság - TB Senior III Open LAT 2018.03.03,2018.03.03,Szentes
1703,TáncSport Magyar Bajnokságok 2017 - Senior III Tíztánc Magyar Bajnokság 2017.02.05,2017.02.05,Szigetszentmiklós
1704,-  0000.00.00,0000.00.00,
1705,TáncSport Magyar Bajnokságok 2016 / WDSF HUNGARIAN DANCE OPEN - MB Junior II Standard 2016.02.13,2016.02.13,Szigetszentmiklós
1706,"XIV. RexTerra Kupa, Ranglista és klubközi versenyek - Junior II D LAT 2019.11.30",2019.11.30,6400 Kiskunhalas Kossuth utca 23
1707,Közép-Magyarország Területi Bajnokság - Felnőtt E STT 2021.03.07,2021.03.07,"Csömör, Major út 7-9"
1708,"III. FULLDANCE KUPA OPEN FORMÁCIÓS RANGLISTA, RISING STAR STANDARD-LATIN ÉS KLUBKÖZI TÁNCVERSENY - Junior I E LAT 2016.04.16",2016.04.16,Tápiószentmárton
1709,Hungarian Open - Ifjúsági C LAT 2018.10.14,2018.10.14,Budapest
1710,"IV.Eraklin Kupa - Junior II. ""D"" Standard 2014.09.20",2014.09.20,Nagykanizsa
1711,"iDance X - Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard és Professzionista Latin Ranglistaversen,és Klubközi Táncverseny - Ifjúsági E LAT 2018.05.26",2018.05.26,Kozármisleny
1712,"SZIGO Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin Ranglistaverseny - Felnőtt B LAT 2018.11.25",2018.11.25,Pécs
1713,-  0000.00.00,0000.00.00,
1714,Közép-Magyarország Területi Bajnokság - Ifjúsági C Standard 2022.02.20,2022.02.20,"Csömör, Major út 7-9"
1715,"VIII. Gemenc Kupa E 6Tánc, D 8Tánc OB és U21 Tíztánc Magyar Bajnokság - Felnőtt ""E"" LAT 2014.03.29",2014.03.29,Tolna
1716,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság és Klubközi Verseny - Junior II C LAT 2020.09.12",2020.09.12,"2146. Mogyoród, Iskola út 5"
1717,V. Danza Kupa - Junior II D LAT 2016.05.08,2016.05.08,Budapest
